run,mission,status,blockers,hover_xy_rmse,hover_xy_max,hover_z_rmse,hover_z_max,fig_tsync_rmse_xy,fig_tsync_p95_xy,fig_tsync_max_xy,spiral_rmse_xyz,spiral_p95_xyz,spiral_max_xyz,spiral_rmse_z,spiral_max_z
sunray_ros1_pid_spiral_fixedbias_lead02_kp10_kv52_r05_h045_p40_20260621_054615,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.058;spiral_max_xyz_error_above_max:0.079,0.021315040418104284,0.033298871604464424,0.011118507252288114,0.019785005526494315,,,,0.038373994179030965,0.057571427348428704,0.0793011942719336,0.028394960359323256,0.07804436821197314
sunray_ros1_pid_spiral_fixedbias_lead03_kp10_kv52_r05_h035_p44_20260621_055025,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.063;spiral_max_xyz_error_above_max:0.080,0.021800150839374262,0.03234027129980453,0.010976458800209055,0.018867083537373652,,,,0.04046252512880481,0.06252145259518439,0.0800358714661733,0.027427851588295582,0.07805305826395892
sunray_ros1_pid_hover_fixed_from_biascal_kp10_kv52_20260621_055520,takeoff_hover_land,blocked,steady_hover_xy_rmse_above_max:0.026,0.026049391357818585,0.03949038668558289,0.014819831236358492,0.027246992969117922,,,,,,,,
sunray_ros1_pid_figure8_fixedbias_scurve_lead02_kp10_kv52_amp065_030_20260621_055901,figure8,blocked,,,,,,,,,,,,,
sunray_ros1_pid_figure8_fixedbias_scurve_lead02_kp10_kv52_amp065_030_retry_20260621_060226,figure8,blocked,,,,,,,,,,,,,
sunray_ros1_pid_figure8_fixedbias_scurve_lead02_kp10_kv52_amp065_030_endfix_20260621_060756,figure8,blocked,steady_hover_xy_rmse_above_max:0.027;figure8_max_xy_error_above_max:0.052;figure8_time_sync_max_xy_error_above_max:0.061,0.026610039831774207,0.04393186447637524,0.010952837433294697,0.018629390684629987,0.026743919952874562,0.04413464539249093,0.06087391277010692,,,,,
sunray_ros1_pid_hover_freqaudit_1000phys_200ctrl_20260621_062308,takeoff_hover_land,passed,,0.018227247774969823,0.04025697056524919,0.012853539021654958,0.022890046558981192,,,,,,,,
sunray_ros1_pid_figure8_interp_recheck_g085_ramp4_lead02_kp10_kv52_20260621_062653,figure8,blocked,steady_hover_xy_rmse_above_max:0.023;figure8_time_sync_max_xy_error_above_max:0.056,0.022850769808140506,0.03443897158821504,0.013689125909746497,0.021399982557192887,0.02396149703623983,0.04124978090221523,0.055500514509797844,,,,,
sunray_ros1_pid_figure8_interp_tune_lead025_kp10_kv60_bias07_20260621_063108,figure8,blocked,steady_hover_xy_rmse_above_max:0.022;figure8_max_xy_error_above_max:0.055;figure8_time_sync_max_xy_error_above_max:0.064,0.021857173016414988,0.04858470276703289,0.010877190169044154,0.018919897299993993,0.02733441346440814,0.047954787213324725,0.06382738252294143,,,,,
sunray_ros1_pid_figure8_interp_nobias_lead02_kp10_kv52_20260621_063509,figure8,blocked,steady_hover_xy_rmse_above_max:0.028;figure8_time_sync_max_xy_error_above_max:0.058,0.027776873298322024,0.04344736335598675,0.01897579176422075,0.032402712226912156,0.023626935021820686,0.04195407250531493,0.05763319906673813,,,,,
sunray_ros1_pid_figure8_tune_kp11_kv52_g085_hold14_ramp5_lead02_20260621_064237,figure8,blocked,steady_hover_z_rmse_above_max:0.023;steady_hover_z_error_above_max:0.052;steady_hover_xy_rmse_above_max:0.030;figure8_max_xy_error_above_max:0.051;figure8_time_sync_max_xy_error_above_max:0.055,0.029731991412284862,0.0459598559299994,0.02344649419921483,0.05235343833190642,0.025357619566947487,0.04576125274649869,0.05543528777512514,,,,,
sunray_ros1_pid_hover_imu400_freqaudit_20260621_065005,takeoff_hover_land,blocked,steady_hover_xy_rmse_above_max:0.038;steady_hover_xy_above_max:0.062,0.03770713171965147,0.061797169793464994,0.011774600742698265,0.022096985013999593,,,,,,,,
sunray_ros1_pid_hover_imu400_freqaudit_fixedhz_20260621_065432,takeoff_hover_land,blocked,steady_hover_xy_rmse_above_max:0.021,0.021414051231289984,0.042068971455129604,0.013123743069474844,0.0222781453710601,,,,,,,,
sunray_ros1_pid_hover_tune_kvi03_g10_imu400_20260621_065808,takeoff_hover_land,blocked,steady_hover_xy_rmse_above_max:0.044;steady_hover_xy_above_max:0.055,0.043878722314031136,0.05533582394539772,0.007288863520783187,0.016658787492660476,,,,,,,,
sunray_ros1_pid_hover_tune_g040_kvi02_imu400_20260621_070126,takeoff_hover_land,passed,,0.019478850729001632,0.03507745135967221,0.013807077473076907,0.021920252949635177,,,,,,,,
sunray_ros1_pid_figure8_g040_kvi02_ramp4_lead02_imu400_20260621_070414,figure8,blocked,steady_hover_xy_rmse_above_max:0.022;figure8_time_sync_max_xy_error_above_max:0.053,0.021646395367044664,0.03423213054997615,0.016206671260016715,0.031190796504469986,0.02108187123134381,0.03963261263814567,0.05335655592481767,,,,,
sunray_ros1_pid_figure8_g040_kvi02_ramp4_lead015_imu400_20260621_070906,figure8,blocked,steady_hover_z_rmse_above_max:0.026;steady_hover_xy_rmse_above_max:0.028;figure8_time_sync_max_xy_error_above_max:0.060,0.028021345149664336,0.03888832611627621,0.025694092524007034,0.04771539625726584,0.023701584936237658,0.04115926092961279,0.06043463828156051,,,,,
sunray_ros1_pid_figure8_g040_kvi02_ramp4_lead022_imu400_20260621_071547,figure8,blocked,,,,,,,,,,,,,
sunray_ros1_pid_figure8_g040_kvi02_ramp4_lead022_timeout240_imu400_20260621_071958,figure8,blocked,steady_hover_xy_rmse_above_max:0.022;figure8_time_sync_max_xy_error_above_max:0.055,0.02208964377117488,0.034186278823901954,0.016252312904320283,0.030431878383687883,0.022003523554068326,0.04112367422978351,0.05473187757061354,,,,,
sunray_ros1_pid_figure8_g040_kvi02_hold18_pre4_ramp4_lead02_imu400_20260621_072444,figure8,blocked,steady_hover_z_rmse_above_max:0.030;steady_hover_z_error_above_max:0.054;steady_hover_xy_rmse_above_max:0.025;figure8_time_sync_max_xy_error_above_max:0.056,0.02457045744995943,0.0373300025774435,0.03020449986576969,0.053623350512996826,0.02174334127011627,0.040165110275257127,0.05571690968311948,,,,,
sunray_ros1_pid_figure8_g040_kvi02_ramp4_lead02_p42_imu400_20260621_072911,figure8,blocked,figure8_time_sync_max_xy_error_above_max:0.053,0.018517952174223085,0.030733206862876797,0.014768577361242145,0.023067147584849845,0.020355079914131227,0.03760439781942712,0.053115290902371395,,,,,
sunray_ros1_pid_figure8_g040_kvi02_ramp4_lead02_p44_imu400_20260621_073400,figure8,blocked,steady_hover_xy_rmse_above_max:0.020;figure8_time_sync_max_xy_error_above_max:0.058,0.020409241811084885,0.03174802886617012,0.015654422904693065,0.023410317047599216,0.021723008895961713,0.03826782257105867,0.057717578868948176,,,,,
sunray_ros1_pid_figure8_g040_kvi02_kv56_ramp4_lead02_p42_imu400_20260621_073910,figure8,blocked,steady_hover_xy_rmse_above_max:0.024;figure8_time_sync_max_xy_error_above_max:0.057,0.0236168106390803,0.035769323149640465,0.01712451404578851,0.04047420351573994,0.022037083194006143,0.039645558592208884,0.05687474985895344,,,,,
sunray_ros1_pid_figure8_g040_kvi02_kp95_kv52_ramp4_lead02_p42_imu400_20260621_074338,figure8,passed,,0.010502926597061018,0.022655815728359043,0.012807599004503284,0.02061151055728172,0.020896659050069346,0.03958459431775123,0.04887444491683382,,,,,
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p44_lead02_imu400_20260621_074807,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.051;spiral_max_xyz_error_above_max:0.065,0.016238750446843656,0.030640218022391377,0.015230635374638453,0.023994978971828784,,,,0.030084348680984502,0.05057148618030365,0.06508646312435323,0.022461433784622165,0.061080359800666395
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p48_lead02_imu400_20260621_075242,spiral_climb,blocked,steady_hover_xy_rmse_above_max:0.024;spiral_p95_xyz_error_above_max:0.051;spiral_max_xyz_error_above_max:0.063,0.023769518979747335,0.03588634498091478,0.016982557053170467,0.03692947683260939,,,,0.030021212048649763,0.05103567552491237,0.0633369440883033,0.02170726326033565,0.06127573264993269
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h035_p44_lead01_imu400_20260621_075740,spiral_climb,blocked,spiral_p95_xyz_error_above_max:0.052;spiral_max_xyz_error_above_max:0.066,0.01659490989841244,0.030786157193113537,0.01447613913996047,0.022494257337564605,,,,0.030723028873646908,0.051672476340080875,0.06645306283374777,0.022350011012595476,0.06197183583686039
sunray_ros1_pid_spiral_kp95_kv52_z334_kvi06_r05_h035_p44_lead02_imu400_20260621_080208,spiral_climb,blocked,steady_hover_z_rmse_above_max:0.026;steady_hover_xy_rmse_above_max:0.029;spiral_p95_xyz_error_above_max:0.054;spiral_max_xyz_error_above_max:0.067,0.02934282920081738,0.039936704820754974,0.026043632918815538,0.047668024628289896,,,,0.03337361652948062,0.053733587514040594,0.06685921606281127,0.023719326382675994,0.06668448609456501
sunray_ros1_pid_spiral_kp95_kv52_z306_r05_h030_p44_lead02_imu400_20260621_080902,spiral_climb,blocked,spiral_max_xyz_error_above_max:0.069,0.0076233801146110055,0.011525328286440567,0.011981389038653966,0.01975641210105228,,,,0.030382089215453188,0.04978189218153867,0.06948060417424641,0.02297952107761456,0.06462572114263909
sunray_ros1_pid_spiral_kp95_kv52_z306_kviz08_r05_h035_p44_lead02_imu400_20260621_081504,spiral_climb,blocked,spiral_max_xyz_error_above_max:0.062,0.010778913495310603,0.02210847619369317,0.014847104943013278,0.022895269757249093,,,,0.02958110725825591,0.049744169177893365,0.06208492851777888,0.021298672229361697,0.058130392839819356
