time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,z_ref_rate,yaw_ref
0.0,-26.0,-36.0,0.430016275273,-26.0,-36.0,0.430016275273,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-26.0,-36.0,0.4300012861676281,-26.0,-36.0,0.4300164853239652,6.062281333809045e-17,-4.113810996568886e-17,4.729230578918489e-15,0.0008825544001468925,-0.0008825544000972458,0.0008825544001456999,-0.0008825544001059164,6.291001848681301e-05,0.0
0.02,-26.0,-36.0,0.4299590204478033,-26.0,-36.0,0.43001794727029496,9.577082525266567e-17,-8.431694703290185e-17,8.974636271866704e-15,0.0033033400179273732,-0.003303340017842798,0.0033033400179277752,-0.003303340017855669,0.00024995967748472355,0.0
0.03,-26.0,-36.0,0.4298992825200559,-26.0,-36.0,0.4300218899546788,-1.4612236098055953e-15,-2.2025166167099554e-15,4.456196458174172e-14,0.006650549348234548,-0.006650549347947801,0.006650549348554533,-0.006650549348031044,0.0005586410486049327,0.0
0.04,-26.0,-36.0,0.42982407105800285,-26.0,-36.0,0.43002951722496435,-3.449886152705997e-15,-4.794911485170506e-15,8.67490810740955e-14,0.01080094299259183,-0.010800942992078327,0.010800942993217023,-0.010800942992217087,0.0009864630918653007,0.0
0.05,-26.0,-36.0,0.4297335991586768,-26.0,-36.0,0.4300420081030415,-5.314591648162328e-15,-7.0241859833704865e-15,1.2777236890579033e-13,0.015741389435184563,-0.015741389434447813,0.015741389436021373,-0.015741389434605915,0.0015309516556903447,0.0
0.06,-26.0,-36.0,0.4296279503529735,-26.0,-36.0,0.4300605169537263,-5.986874143457617e-15,-8.308007732326761e-15,1.5833986200112111e-13,0.021466996829789742,-0.021466996828834115,0.021466996830642168,-0.02146699682902297,0.0021896494769112437,0.0
0.07,-26.0,-36.0,0.42950740124353265,-26.0,-36.0,0.4300861736536454,2.1330253542823864e-14,-3.3871656588158507e-14,1.9039643761549107e-13,0.027962543354452397,-0.02796254335107474,0.02796254335536937,-0.02796254335572731,0.0029601161807658307,0.0
0.08,-26.0,-36.0,0.4293724581940429,-26.0,-36.0,0.43012008376011945,1.8416448450810273e-14,-3.451734988081622e-14,2.207001373187343e-13,0.035201446639433684,-0.035201446636465517,0.03520144664040707,-0.03520144663994926,0.003839928280898602,0.0
0.09,-26.0,-36.0,0.4292238356766631,-26.0,-36.0,0.4301633286800479,6.198301572686273e-14,-7.39539477506629e-14,2.5320830607699417e-13,0.04314803229173102,-0.043148032285450034,0.043148032292693046,-0.04314803229510108,0.004826679179360709,0.0
0.1,-26.0,-36.0,0.42906242548254697,-26.0,-36.0,0.43021696583879276,1.1251017495928527e-13,-1.2094036872920648e-13,2.8634665608849235e-13,0.0517600311683053,-0.05176003115873681,0.051760031169316656,-0.051760031174556714,0.005917979166609963,0.0
0.11,-26.0,-36.0,0.42888927047809444,-26.0,-36.0,0.43028202884906247,1.589684313113783e-13,-1.587285610369213e-13,3.186158377133389e-13,0.06099061650596879,-0.06099061649391333,0.060990616506425295,-0.06099061651371545,0.007111455421510834,0.0
