time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,z_ref_rate,yaw_ref
4.0,0.022154804846581593,0.0019782412113411767,0.9763874960168345,0.08086559200269545,0.007135199294355482,1.0,-0.002417543465557755,0.02750142755614596,2.8306742575074076e-05,0.17159312755496325,-0.17145086682637395,0.168745794098219,-0.16848421216370407,0.0,0.0
4.01,0.023092181219626643,0.0020613238702284356,0.9763551601644226,0.08311609479599195,0.007333773070234584,1.0,-0.002457130372703812,0.02792471676350432,2.9190891920856108e-05,0.17039765575631496,-0.17037680795067148,0.16894145547293907,-0.16854574239888245,0.0,0.0
4.0200000000000005,0.024057065508224045,0.002146826379893889,0.976326664374602,0.0854038827287644,0.007535636711361564,1.0,-0.00249667541816783,0.02834659761456659,3.008456011588462e-05,0.16938583143146077,-0.16946724891782533,0.1689992250413641,-0.16848846377259113,0.0,0.0
4.03,0.025049879840713437,0.0022347866874100884,0.9763019298431848,0.08772910883203132,0.007740803720473351,1.0,-0.0025347670430561596,0.028782132870947438,3.094744806034537e-05,0.16921839396497365,-0.1692847053117721,0.1682547528976276,-0.16774696371067366,0.0,0.0
4.04,0.026071051343168634,0.002325242186210088,0.976280880388484,0.09009192241940481,0.007949287272300425,1.0,-0.00257154002141119,0.02923135319087729,3.178243107229321e-05,0.16970800214944307,-0.1696757953325041,0.1668923718525525,-0.16647148126684858,0.0,0.0
4.05,0.02712101210553055,0.002418229772759034,0.9762634420815862,0.09249246910225006,0.008161100214904416,1.0,-0.002608326026539032,0.02967766270696817,3.262761455590972e-05,0.16995385172593563,-0.16985401331207645,0.16581034930449123,-0.16544523681993517,0.0,0.0
4.0600000000000005,0.028200188845839934,0.002513785955147853,0.9762495440250502,0.09493089080484567,0.008376255071015795,1.0,-0.002646321453419724,0.030106460934969884,3.3518496194318245e-05,0.16935109331666054,-0.16929643326659838,0.16561111276590862,-0.1651881117967961,0.0,0.0
4.07,0.02930900552947908,0.002611947990342634,0.9762391169969697,0.09740732577954303,0.008594764039371445,1.0,-0.002685375717338122,0.030520947817164888,3.445111386514052e-05,0.16824246360957335,-0.16831268565623145,0.16594922879991772,-0.16538793064080767,0.0,0.0
4.08,0.030447877534078224,0.0027127532640113215,0.9762320942372381,0.0999219086219276,0.008816638996052435,1.0,-0.0027239698032918073,0.030937079861226666,3.537943154066534e-05,0.16748424868770087,-0.167632761020176,0.1659654947932201,-0.16531267601514082,0.0,0.0
4.09,0.03161722017629865,0.0028162389398347287,0.9762284107801218,0.10247477028597834,0.00904189149582162,1.0,-0.002760973701871748,0.03136749496985122,3.626799469362518e-05,0.1675848119400715,-0.16769283515933062,0.16514893069349204,-0.16452415924439104,0.0,0.0
4.1,0.03281745335848368,0.0029224415307109995,0.9762280031798976,0.10506603809922802,0.009270532773461296,1.0,-0.002796846954340351,0.03180832250314619,3.713020178926757e-05,0.16817203938961106,-0.1681786308170967,0.16386967284817297,-0.1633343466993666,0.0,0.0
4.11,0.0340489990954087,0.003031396973490529,0.9762308094464281,0.10769583577792328,0.009502573745110878,1.0,-0.002832984140033056,0.03224161081073597,3.8009722665467135e-05,0.1683229140721679,-0.16828140934465066,0.16304916872811362,-0.1625495704552988,0.0,0.0
4.12,0.03531227582417104,0.0031431412303193004,0.9762367690713379,0.11036428344218417,0.009738025009604486,1.0,-0.002870361313653928,0.03265614969695386,3.8938103820813694e-05,0.16762927813551612,-0.16765425179477744,0.16309398703629274,-0.16251462845382064,0.0,0.0
4.13,0.03660769399779507,0.003257710629670544,0.9762458230218591,0.11307149763116564,0.009976896849808733,1.0,-0.0029084862462437867,0.03305875088926813,3.98997299745499e-05,0.16659546004571835,-0.16674319118787687,0.16349787538153823,-0.1627819339843127,0.0,0.0
4.14,0.03793565766597493,0.0033751416231979537,0.9762579135785093,0.11581759131821648,0.010219199233960278,1.0,-0.002945802697248571,0.03346554851096043,4.0843279094288216e-05,0.1660495532815683,-0.1662519356803455,0.16343063348212947,-0.16264664371846374,0.0,0.0
4.15,0.03929657129655419,0.003495470295921314,0.976272984035672,0.11860267392604014,0.010464941817003541,1.0,-0.002981486010649191,0.03388638652899549,4.174054010377059e-05,0.16633607122903232,-0.1664794612266838,0.16254604037480488,-0.16180852589286168,0.0,0.0
4.16,0.040690843254938346,0.003618732008695274,0.9762909784779049,0.12142685134185364,0.010714133941928264,1.0,-0.0030162583562038468,0.0343137661228193,4.26150228021629e-05,0.16692286484895408,-0.16696944647589415,0.16137516675173183,-0.16072230450355965,0.0,0.0
4.17,0.04211888235849541,0.0037449616043536567,0.9763118418086986,0.12429022593254958,0.010966784641107317,1.0,-0.003051502870006817,0.034729842201976883,4.351362782724885e-05,0.16693370866892254,-0.16695451875485898,0.16079346493918203,-0.160153698436199,0.0,0.0
4.18,0.043581092266932506,0.003874194004578911,0.9763355198376995,0.12719289655985466,0.011222902637634235,1.0,-0.0030879263361221917,0.035127190281992564,4.4461005814547737e-05,0.16616219384318195,-0.16626625561838085,0.1610064249283257,-0.16026982213651178,0.0,0.0
4.19,0.045077871164168885,0.004006464702046062,0.9763619588887764,0.13013495859549093,0.011482496346660966,1.0,-0.0031247373342342395,0.035515431660228865,4.542967753462639e-05,0.16522823750580853,-0.16544551878989625,0.16139279962917766,-0.1605290710746832,0.0,0.0
