time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,position_error_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.0
0.002,1.0376975304732627e-13,-1.3389645554495802e-13,-7.255403487154752e-23,0.0,0.0,0.004,2.3187027979544095e-08,1.7969946684143483e-08,-2.083348282780782e-16,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.004
0.004,1.5040024878087719e-12,-1.9406483713664263e-12,-1.0084478487198781e-19,0.0,0.0,0.008,9.237489506580025e-08,7.159054367598203e-08,-3.3065844798863395e-15,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.008
0.006,6.427919034277201e-12,-8.294089076488094e-12,-7.546891710715985e-19,0.0,0.0,0.012,2.0750229860594249e-07,1.6081428141957307e-07,-1.6684666521612334e-14,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.012
0.008,2.6640796816378912e-11,-3.437522169857089e-11,-1.3848588123331663e-17,0.0,0.0,0.016,3.688514638829289e-07,2.858598845091988e-07,-5.271991843331321e-14,64.7923778389665,-64.7923778389665,64.7923778389665,-64.7923778389665,0.016000000000000014
0.01,6.642833517430996e-11,-8.57139808701317e-11,-4.435369127174206e-17,0.0,0.0,0.02,5.764717459301214e-07,4.4676560309569445e-07,-1.287738736190578e-13,102.59698900681627,-102.5964007341556,102.59594482284157,-102.5965330955045,0.020000000000000046
0.012,1.1200775307950899e-10,-1.4452613301409547e-10,1.1495524266365997e-06,0.0,0.0,0.024,8.316027238050638e-07,6.444921084094909e-07,-2.6798805881023915e-13,95.8798181365475,-95.8793269463877,95.87894627401187,-95.8794374641739,0.023998850447573362
0.014,1.8720600084898164e-10,-2.4155613037923493e-10,8.500712076171441e-06,0.0,0.0,0.028000000000000004,1.139833041682292e-06,8.83370588187583e-07,-5.035736787765255e-13,90.38035289810975,-90.37994117042687,90.37962208147064,-90.38003380915578,0.027991499287923837
0.016,3.069438198630376e-10,-3.960565436467762e-10,2.6676305171903606e-05,0.0,0.0,0.032,1.5063770300001957e-06,1.1674421373707877e-06,-8.798650504435502e-13,85.8777539717889,-85.87740728636965,85.87713860516772,-85.87748529058923,0.031973323694828096
0.018000000000000002,4.88985328452636e-10,-6.309488188034248e-10,5.871070152646569e-05,0.0,0.0,0.036000000000000004,1.9346222557888427e-06,1.499332112589956e-06,-1.4518407922322258e-12,82.19165179232354,-82.19135834157547,82.19113091724371,-82.19142436799403,0.035941289298473546
